--- MOHE ORPHANS REPORT ---
Courses present in MOHE data but NOT found in HalaTuju.

[UA PROGRAMS] Orphans: 221
          code                                                        program_name                                     university
186  UE4346001                            DIPLOMA PENGURUSAN DAN TEKNOLOGI PEJABAT                      Universiti Teknologi Mara
187  UE4221001                                            DIPLOMA PENGURUSAN HALAL                      Universiti Teknologi Mara
188  UE4581002                                         DIPLOMA PENGURUSAN HARTANAH                      Universiti Teknologi Mara
189  UE4811002                                            DIPLOMA PENGURUSAN HOTEL                      Universiti Teknologi Mara
191  UE4620002                             DIPLOMA PENGURUSAN INDUSTRI PERLADANGAN                      Universiti Teknologi Mara
192  UZ4345001                                         DIPLOMA PENGURUSAN LOGISTIK        Universiti Pertahanan Nasional Malaysia
194  UE4322001                                         DIPLOMA PENGURUSAN MAKLUMAT                      Universiti Teknologi Mara
196  UE4812001                                      DIPLOMA PENGURUSAN PELANCONGAN                      Universiti Teknologi Mara
197  UE4811004                             DIPLOMA PENGURUSAN PERKHIDMATAN MAKANAN                      Universiti Teknologi Mara
198  UP4621002    DIPLOMA PENGURUSAN PERLADANGAN MAKANAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
199  UP4345001             DIPLOMA PENGURUSAN PERNIAGAAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
202  UE4212003                                             DIPLOMA PENGURUSAN SENI                      Universiti Teknologi Mara
203  UE4813002                               DIPLOMA PENGURUSAN SUKAN DAN REKREASI                      Universiti Teknologi Mara
204  UD4345001                                   DIPLOMA PENGURUSAN SUMBER MANUSIA                Universiti Sultan Zainal Abidin
205  UE4345001                                            DIPLOMA PENTADBIRAN AWAM                      Universiti Teknologi Mara
206  UD4221002                                           DIPLOMA PENTADBIRAN ISLAM                Universiti Sultan Zainal Abidin
207  UE4345002                                        DIPLOMA PENTADBIRAN KORPORAT                      Universiti Teknologi Mara
208  UZ4340001                                      DIPLOMA PENTADBIRAN PERNIAGAAN        Universiti Pertahanan Nasional Malaysia
209  UE4222001                                             DIPLOMA PENULISAN SKRIP                      Universiti Teknologi Mara
211  UD4344001                                                  DIPLOMA PERAKAUNAN                Universiti Sultan Zainal Abidin
212  UE4344001                                                  DIPLOMA PERAKAUNAN                      Universiti Teknologi Mara
213  UE4581003                              DIPLOMA PERANCANGAN BANDAR & WILAYAH #                      Universiti Teknologi Mara
215  UP4623001                        DIPLOMA PERHUTANAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
216  UG4624001                                                   DIPLOMA PERIKANAN                 Universiti Malaysia Terengganu
217  UP4624001                         DIPLOMA PERIKANAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
220  UD4340001                                     DIPLOMA PERNIAGAAN ANTARABANGSA                Universiti Sultan Zainal Abidin
221  UP4621001                    DIPLOMA PERNIAGAANTANI (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
222  UP4621003                         DIPLOMA PERTANIAN (KAMPUS BINTULU, SARAWAK)                      Universiti Putra Malaysia
223  UE4212005                                    DIPLOMA PRODUKSI AUDIO DIGITAL #                      Universiti Teknologi Mara
224  UD4725001                                                  DIPLOMA RADIOGRAFI                Universiti Sultan Zainal Abidin
225  UA4481002                     DIPLOMA REKA BENTUK DAN PEMBANGUNAN PERMAINAN #             Universiti Pendidikan Sultan Idris
