program_id,merit
UZ6345002,85.20%
UU6345002,89.27%
UT6345003,95.78%
US6345001,98.66%
UU6345007,83.80%
UU6345014,92.22%
UE6341002,89.96%
UB6345003,70.30%
UU6811001,83.09%
UE6310003,82.68%
UD6345002,68.63%
UU6762002,79.46%
UL6310001,79.08%
UU6345012,82.53%
UG6525002,88.88%
UU6812001,80.47%
UU6345008,84.28%
UW6342001,85.72%
UW6345003,81.57%
UU6345006,89.40%
UZ6345003,85.82%
UU6343004,79.26%
UE6310004,86.33%
UM6813002,93.39%
UE6813002,82.62%
UU6345005,95.58%
UZ6345001,89.73%
UE6581006,75.32%
UB6345002,67.96%
UB6345001,70.10%
UC6345001,83.67%
UU6481002,81.17%
UB6345004,70.37%
UE6345007,78.69%
UE6345011,85.93%
UU6345010,79.91%
UM6345001,98.50%
UY6345001,97.64%
UE6343005,85.05%
UD6343001,89.58%
UU6840001,94.28%
UU6345009,73.01%
UD6345001,74.60%
UK6345002,99.71%
UU6345003,94.03%
UM6762001,98.34%
UE6222001,90.24%
UH6222001,Tiada
UE6222002,85.51%
UM6344001,99.57%
UY6344001,100.00%
UU6344002,99.84%
UD6344001,99.75%
UT6344001,100.00%
UW6344001,98.31%
UU6344001,100.00%
UL6344001,98.17%
US6344001,99.55%
UK6344001,99.81%
UR6344002,Tiada
UM6581002,90.54%
US6581002,92.27%
UE6581003,80.01%
UY6581003,79.98%
UT6581003,83.94%
UU6343003,98.11%
UD6321001,83.95%
UR6340002,70.77%
UR6340001,77.65%
UE6345001,88.68%
UE6343002,82.31%
UE6340003,93.94%
UE6343001,87.69%
UE6340001,Tiada
UE6342001,79.10%
UE6840001,80.48%
UE6345008,80.84%
UE6345003,79.56%
UE6345009,82.96%
UE6341001,79.37%
UE6345002,91.59%
UE6345010,87.29%
UE6343003,91.45%
UD6620001,74.53%
UZ6221001,82.15%
UD6721001,98.88%
UE6721001,99.00%
UM6721001,99.79%
UQ6721001,96.75%
UD6640001,80.74%
UH6311002,88.37%
UW6311001,95.64%
UT6311001,93.96%
UB6462002,91.55%
UG6461003,86.71%
UG6443002,85.59%
UB6441001,73.26%
UT6440001,91.28%
UT6441001,90.48%
UG6443003,81.54%
UB6421001,74.65%
UE6851001,76.55%
UE6461001,95.55%
UE6461002,90.58%
UE6421003,95.17%
UE6421002,83.71%
UE6811004,83.51%
UE6581005,88.35%
UW6581001,78.96%
UE6862002,89.91%
UE6525001,82.46%
UE6582001,74.18%
UG6422002,70.63%
UT6442001,92.31%
UT6442002,92.61%
UG6461001,81.87%
UT6440002,89.10%
UG6461002,79.67%
UB6461001,74.31%
UT6461001,92.38%
UY6581002,88.28%
UG6421001,75.96%
UG6442001,77.51%
UG6443001,79.86%
UG6840001,92.61%
UB6462001,75.49%
UB6541001,88.81%
UE6620003,87.40%
UE6622001,86.15%
UG6621001,83.43%
UW6621001,69.08%
UM6462002,100.00%
UE6462002,99.10%
UG6624002,85.98%
UD6624001,70.72%
UM6421003,99.99%
UE6421001,87.99%
UT6421001,88.65%
UE6421004,84.07%
UM6725001,100.00%
UY6720001,89.66%
UD6720001,99.85%
US6725001,100.00%
UK6725004,96.69%
UM6545001,100.00%
UT6421003,93.19%
UE6620002,85.44%
UK6220001,84.70%
US6421005,Tiada
UW6421001,78.54%
US6421006,Tiada
UY6545003,96.33%
US6441001,92.04%
UK6443003,89.73%
US6442002,95.70%
UY6545004,94.32%
US6461004,99.81%
US6421004,Tiada
UK6462002,98.51%
US6545005,100.00%
UY6545005,87.74%
UY6545002,85.83%
UK6462001,99.26%
UW6421003,79.66%
UE6541001,96.69%
UK6541002,97.48%
UR6481002,Tiada
UK6421004,97.27%
UK6421002,99.55%
UK6421001,95.92%
UQ6545001,86.99%
UK6421006,86.97%
UQ6545004,88.52%
UK6421005,96.82%
UK6442002,97.60%
UQ6461001,92.34%
UK6461001,94.57%
UK6421003,98.22%
UT6214001,83.06%
UQ6462001,90.32%
UK6545003,83.31%
UK6443002,83.92%
UK6422001,81.19%
UQ6545003,86.19%
UK6442001,95.53%
UT6145004,92.71%
UT6145005,95.99%
UT6145006,94.43%
UT6145001,84.03%
UM6422002,87.29%
UU6314001,92.06%
UM6813001,90.07%
UM6441001,98.21%
UE6441001,88.47%
UK6441001,94.12%
UE6545001,88.52%
UK6725002,96.82%
UT6520001,85.20%
UM6443002,89.65%
UL6422002,68.86%
UG6545001,63.50%
UG6422001,68.69%
UG6624001,85.30%
UL6422001,73.80%
UR6521008,Tiada
UG6525001,82.90%
UG6525004,76.71%
UL6620001,68.66%
UL6540002,65.39%
UJ6462001,84.32%
UJ6545002,70.72%
US6421007,Tiada
US6422001,Tiada
US6421008,Tiada
US6421003,Tiada
US6545003,98.83%
US6443001,93.08%
US6442001,97.19%
US6545002,95.70%
US6461002,99.09%
US6462001,99.99%
UJ6545001,73.94%
UG6441001,80.53%
UE6526003,73.54%
