masco_code,job_title,url
3115-29,Juruteknik Pembuatan Logam,https://emasco.mohr.gov.my/masco/3115-29
3115-35,Penolong Jurutera Automasi Perindustrian,https://emasco.mohr.gov.my/masco/3115-35
3115-38,Juruteknik CAD/CAM (Rekabentuk Dan Pembuatan Berbantu Komputer),https://emasco.mohr.gov.my/masco/3115-38
3115-47,Juruteknik Robotik,https://emasco.mohr.gov.my/masco/3115-47
3115-55,Juruteknik Pembaikan Dan Penyelenggaraan (R&M),https://emasco.mohr.gov.my/masco/3115-55
3116-02,Juruteknik Kejuruteraan Proses Kimia,https://emasco.mohr.gov.my/masco/3116-02
3116-03,Juruteknik Kejuruteraan Petroleum,https://emasco.mohr.gov.my/masco/3116-03
3116-05,Juruteknik Kejuruteraan Kimia (Petroleum),https://emasco.mohr.gov.my/masco/3116-05
3116-06,Juruteknik Penapisan Petroleum,https://emasco.mohr.gov.my/masco/3116-06
3117-01,Juruteknik Kaji Logam,https://emasco.mohr.gov.my/masco/3117-01
3118-01,Pelukis Pelan (Seni Bina) Gred JA19,https://emasco.mohr.gov.my/masco/3118-01
3118-02,Juruteknik Lukis Pelan,https://emasco.mohr.gov.my/masco/3118-02
3118-03,Pelukis Pelan,https://emasco.mohr.gov.my/masco/3118-03
3118-25,Juruteknik Landskap,https://emasco.mohr.gov.my/masco/3118-25
3118-26,Penolong Pegawai Seni Bina Gred JA29,https://emasco.mohr.gov.my/masco/3118-26
3118-28,Penolong Arkitek Landskap Gred JA29,https://emasco.mohr.gov.my/masco/3118-28
3118-29,Penolong Pegawai Tanah (Semenanjung) NT29,https://emasco.mohr.gov.my/masco/3118-29
3118-32,Penolong Pegawai Perancang Bandar dan Desa Gred JA29,https://emasco.mohr.gov.my/masco/3118-32
3118-33,Penolong Pegawai Seni Bina Gred 19,https://emasco.mohr.gov.my/masco/3118-33
3118-34,Penolong Arkitek,https://emasco.mohr.gov.my/masco/3118-34
1214-09,Penolong Pereka Fesyen,https://emasco.mohr.gov.my/masco/1214-09
3119-19,Juruteknik Kawalan Kualiti,https://emasco.mohr.gov.my/masco/3119-19
3119-28,Juruteknik Kejuruteraan Jaminan Kualiti,https://emasco.mohr.gov.my/masco/3119-28
3119-36,Juruteknik Sisa Pepejal,https://emasco.mohr.gov.my/masco/3119-36
3119-40,Juruteknik Air Sisa,https://emasco.mohr.gov.my/masco/3119-40
3119-43,Juruteknik Pemprosesan Makanan,https://emasco.mohr.gov.my/masco/3119-43
3119-46,Juruteknik Penyelidikan Biotek Akuakultur,https://emasco.mohr.gov.my/masco/3119-46
3119-53,Juruteknik Pembuatan,https://emasco.mohr.gov.my/masco/3119-53
3122-04,Penyelia Pembungkusan,https://emasco.mohr.gov.my/masco/3122-04
3122-18,Penyelia Pengeluaran,https://emasco.mohr.gov.my/masco/3122-18
3122-19,Penyelia Jaminan Kualiti,https://emasco.mohr.gov.my/masco/3122-19
3122-28,Penyelia,https://emasco.mohr.gov.my/masco/3122-28
3122-29,Penyelia Gudang,https://emasco.mohr.gov.my/masco/3122-29
3123-08,Penyelia Landskap,https://emasco.mohr.gov.my/masco/3123-08
3131-16,Juruteknik Sel Solar,https://emasco.mohr.gov.my/masco/3131-16
3142-01,Juruteknik Agronomi,https://emasco.mohr.gov.my/masco/3142-01
3142-05,Juruteknik Hortikultur,https://emasco.mohr.gov.my/masco/3142-05
3142-16,Penolong Pegawai Pertanian Gred G29,https://emasco.mohr.gov.my/masco/3142-16
3142-20,Pembantu Taman/Ladang Gred G19,https://emasco.mohr.gov.my/masco/3142-20
3144-07,Penolong Pegawai Perikanan Gred G29,https://emasco.mohr.gov.my/masco/3144-07
3151-05,Juruteknik Penyelenggaraan Pesawat (Kerangka Pesawat Udara),https://emasco.mohr.gov.my/masco/3151-05
3151-06,Juruteknik Penyelenggaraan Pesawat (Enjin),https://emasco.mohr.gov.my/masco/3151-06
3151-08,Juruteknik Loji Kuasa dan Kerangka Pesawat Udara,https://emasco.mohr.gov.my/masco/3151-08
3151-13,Juruteknik Loji Kuasa,https://emasco.mohr.gov.my/masco/3151-13
3152-05,Juruteknik Enjin Marin,https://emasco.mohr.gov.my/masco/3152-05
3152-06,Juruteknik Kapal,https://emasco.mohr.gov.my/masco/3152-06
3153-07,Juruteknik Isyarat dan Komunikasi,https://emasco.mohr.gov.my/masco/3153-07
3154-03,Juruteknik Mekatronik Kenderaan Bermotor,https://emasco.mohr.gov.my/masco/3154-03
3154-04,Juruteknik Automotif Sistem Brek,https://emasco.mohr.gov.my/masco/3154-04
