course_id,course,wbl,industry_demand,salary_range
UP4621002,"DIPLOMA PENGURUSAN PERLADANGAN MAKANAN (KAMPUS BINTULU, SARAWAK)",0,0,
UP4345001,"DIPLOMA PENGURUSAN PERNIAGAAN (KAMPUS BINTULU, SARAWAK)",0,0,
UE4212003,DIPLOMA PENGURUSAN SENI,0,0,
UE4813002,DIPLOMA PENGURUSAN SUKAN DAN REKREASI,0,0,
UD4345001,DIPLOMA PENGURUSAN SUMBER MANUSIA,0,0,
UE4345001,DIPLOMA PENTADBIRAN AWAM,0,0,
UD4221002,DIPLOMA PENTADBIRAN ISLAM,0,0,
UE4345002,DIPLOMA PENTADBIRAN KORPORAT,0,0,
UZ4340001,DIPLOMA PENTADBIRAN PERNIAGAAN,0,0,
UE4222001,DIPLOMA PENULISAN SKRIP,0,0,
UD4344001,DIPLOMA PERAKAUNAN,0,0,
UE4344001,DIPLOMA PERAKAUNAN,0,0,
UE4581003,DIPLOMA PERANCANGAN BANDAR & WILAYAH #,0,0,
UP4623001,"DIPLOMA PERHUTANAN (KAMPUS BINTULU, SARAWAK)",0,0,
UG4624001,DIPLOMA PERIKANAN,0,0,
UP4624001,"DIPLOMA PERIKANAN (KAMPUS BINTULU, SARAWAK)",0,0,
UD4340001,DIPLOMA PERNIAGAAN ANTARABANGSA,0,0,
UP4621001,"DIPLOMA PERNIAGAANTANI (KAMPUS BINTULU, SARAWAK)",0,0,
UP4621003,"DIPLOMA PERTANIAN (KAMPUS BINTULU, SARAWAK)",0,0,
UE4212005,DIPLOMA PRODUKSI AUDIO DIGITAL #,0,0,
UD4725001,DIPLOMA RADIOGRAFI,0,0,
UA4481002,DIPLOMA REKA BENTUK DAN PEMBANGUNAN PERMAINAN #,0,0,
UE4214003,DIPLOMA REKA BENTUK SERAMIK INDUSTRI KREATIF Baru #,0,0,
UD4214001,DIPLOMA REKABENTUK PERINDUSTRIAN #,0,0,
UA4440001,DIPLOMA SAINS,0,0,
UE4545004,DIPLOMA SAINS,0,0,
UA4461001,DIPLOMA SAINS (MATEMATIK),0,0,
UE4462002,DIPLOMA SAINS AKTUARI,0,0,
UE4581004,DIPLOMA SAINS GEOMATIK,0,0,
UB4545001,DIPLOMA SAINS GUNAAN,0,0,
UJ4545001,DIPLOMA SAINS INDUSTRI,0,0,
UD4723001,DIPLOMA SAINS KEJURURAWATAN,0,0,
UA4481001,DIPLOMA SAINS KOMPUTER,0,0,
UC4481002,DIPLOMA SAINS KOMPUTER,0,0,
UD4481003,DIPLOMA SAINS KOMPUTER,0,0,
UE4481001,DIPLOMA SAINS KOMPUTER,0,0,
UJ4481001,DIPLOMA SAINS KOMPUTER,0,0,
UP4481001,"DIPLOMA SAINS KOMPUTER (KAMPUS BINTULU, SARAWAK)",0,0,
UE4461001,DIPLOMA SAINS MATEMATIK,0,0,
UA4813001,DIPLOMA SAINS SUKAN DAN KEJURULATIHAN #,0,0,
UD4221003,DIPLOMA SEJARAH & TAMADUN ISLAM,0,0,
UE4211002,DIPLOMA SENI HALUS Baru #,0,0,
UE4811003,DIPLOMA SENI KULINARI,0,0,
UE4215002,DIPLOMA SENI LUKIS DAN SENI REKA (SENI REKA LOGAM HALUS) Baru #,0,0,
UE4215001,DIPLOMA SENI LUKIS DAN SENI REKA (SENI REKA TEKSTIL) Baru #,0,0,
